"name","latitude","longitude","been"
"Three Mile Island","40°9′14″N","76°43′29″W","todo"
"Borssele","51°25′23″N","3°44′7″E","todo"
"Palo Verde","33°23′21″N","112°51′54″W","todo"
"Pratt Street","39°17′9.7″N","76°36′25.6″W","been"
"Chooz","50°05′24″N","04°47′26″E","been"
"Chinon","47.2325°N","0.1703°E","todo"
"Leibstadt","47°36′11″N","8°11′05″E","todo"
"Dukovany","49°5′6″N","16°8′56″E","todo"
"Barakah","23°58′04″N","52°13′54″E","todo"
"Koeberg","33°40′35.2″S","18°25′55.37″E","todo"
"Indian Point","41°16′11″N","73°57′8″W","been"
"Fessenheim","47.9156°N","7.5367°E","been"
"Zaporizhzhia","47°30′30″N","34°35′04″E","todo"
"Montour","39°49′37″N","76°20′07″W","been"
"Susquehanna","41°5′20″N","76°8′56″W","todo"
"Peach Bottom","39°45′30″N","76°16′5″W","todo"
"Centrale Monceau","50.394694444444","4.3813111111111","been"
"Sizewell","52.215°N","1.61972°E","been"
"Zwentendorf","48.3544°N","15.8847°E","todo"
"Parc Éolien du Plateau d’Ally","50.17°N","1.75°E","been"
"Eggborough","53.7116°N","1.1269°W","todo"
"Rutenberg","31°37′39″N","34°30′58″E","todo"
"Morgantown","38°21′33″N","76°58′36″W","been"
"Niagara Falls","43.0799°N","79.0747°W","been"
"Cernavodă","44°19′20″N","28°03′26″E","todo"
"Turów","50°56′45″N","14°54′53″E","todo"
"Grande-Dixence","46.0808°N","7.4033°E","been"
"Rusumo Dam","02°22′47″S","30°47′09″E","todo"
"Loviisa","60°22′20″N","26°20′50″E","todo"
"Glen Canyon Dam","36°56′15″N","111°29′04″W","been"
"Tihange","50°32′4.66″N","5°16′21.12″E","todo"
"Belleville","47°30′35″N","2°52′30″E","been"
"Hartlepool","54°38′6″N","1°10′51″W","todo"
"Doel","51°19′29″N","04°15′31″E","todo"
"Bonneville Dam","45°38′39″N","121°56′26″W","been"
"Gösgen","47°21′58″N","7°58′0″E","todo"
"Limerick","40°13′36″N","75°35′14″W","been"
"Chernobyl","51°23′21″N","30°05′58″E","todo"
"Emsland","52°28′27.23″N","07°19′04.29″E","todo"
"Fukushima Daini","37°18′59″N","141°1′32″E","todo"
"Calvert Cliffs","38°25′55″N","76°26′32″W","todo"
"Olkiluoto","61°14′13″N","21°26′27″E","todo"
"Sant Adrià de Besòs","41.4285°N","2.223°E","been"
"Bohunice","48°29′40″N","17°40′55″E","todo"
"Batttersea Power Station","51.4818°N","0.1447°W","been"
"Temelín","49°10′48.5″N","14°22′34.4″E","todo"
"Beaver Valley","40°37′24″N","80°25′50″W","todo"
"North Anna","38°3′38″N","77°47′22″W","todo"
"Paks","46°34′21″N","18°51′15″E","todo"
"Beznau","47.552107°N","8.228492°E","todo"
"Willow Creek Dam","45.34695°N","119.54463°W","todo"
"Müllverbrennungsanlage Spittelau","48°14′4″N","16°21′34″E","been"
"Neckarwestheim","49°02′30″N","9°10′30″E","todo"
"Fukushima Daiichi","37°25′23″N","141°01′59″E","todo"
"Three Gorges Dam","30°49′23″N","111°00′12″E","todo"
"Isar","48°36′20.18″N","12°17′35.34″E","todo"
"Torness","55.96799°N","2.40908°W","todo"
"","47°43′59″N","02°31′00″E","todo"
"Columbia","46°28′16″N","119°20′2″W","todo"
"Provence","43.5°N","5.5°E","been"
"Akademik Lomonosov","69.7097°N","170.3061°E","todo"
"Heysham","54°1′44″N","2°54′58″W","todo"
"Bełchatów","51°22′N","19°22′E","todo"
"Grand Coulee Dam","47°57′21″N","118°58′54″W","todo"
"Laguna Verde","19°43′15″N","96°24′23″W","todo"
